BPM,60,v,1,,,
49.86,2,2,오른손,상관없음,0,49.14
50.69,1,1,왼손,상관없음,0,49.86
51.56,0,2,왼손,상관없음,0,50.69
52.38,1,1,오른손,상관없음,0,51.56
53.31,2,2,오른손,상관없음,0,52.38
54.15,1,1,왼손,상관없음,0,53.31
55.08,0,2,왼손,상관없음,0,54.15
55.5,2,1,오른손,상관없음,0,55.08
55.87,2,1,오른손,상관없음,0,55.5
56.3,2,1,오른손,상관없음,0,55.87
56.74,2,1,오른손,상관없음,0,56.3
57.19,0,1,왼손,상관없음,0,56.74
57.65,0,1,왼손,상관없음,0,57.19
58.12,0,1,왼손,상관없음,0,57.65
58.59,0,1,왼손,상관없음,0,58.12
58.79,2,1,오른손,상관없음,0,58.59
58.99,0,1,왼손,상관없음,0,58.79
59.19,2,1,오른손,상관없음,0,58.99
59.39,0,1,왼손,상관없음,0,59.19
59.62,2,1,오른손,상관없음,0,59.39
59.82,0,1,왼손,상관없음,0,59.62
60.24,2,1,오른손,상관없음,0,59.82
60.24,0,1,왼손,상관없음,0,60.24
62.12,2,1,오른손,왼쪽,0,62.12
63.28,0,1,왼손,오른쪽,0,63.28
64.14,2,1,오른손,오른쪽,0,64.14
65.08,0,1,왼손,왼쪽,0,65.08
65.83,2,1,오른손,오른쪽,0,65.83
66.04,0,1,왼손,왼쪽,0,66.04
66.44,2,2,오른손,상관없음,0,66.44
66.79,2,0,오른손,상관없음,0,66.79
67.19,0,2,왼손,상관없음,0,67.19
67.61,0,0,왼손,상관없음,0,67.61
68.09,0,1,오른손,상관없음,0,68.09
69.34,2,1,왼손,상관없음,0,69.34
70.21,1,2,오른손,상관없음,0,70.21
71.02,2,1,오른손,오른쪽,0,71.02
71.83,0,1,왼손,왼쪽,0,71.83
72.37,2,1,오른손,오른쪽,0,72.37
72.77,0,1,왼손,왼쪽,0,72.77
73.25,2,2,오른손,상관없음,0,73.25
73.66,2,0,오른손,상관없음,0,73.66
74.14,0,2,왼손,상관없음,0,74.14
74.6,0,0,왼손,상관없음,0,74.6
75.02,0,1,오른손,상관없음,0,75.02
76.29,2,1,왼손,상관없음,0,76.29
77.08,1,2,오른손,상관없음,0,77.08
77.69,0,0,오른손,오른쪽위,0,77.69
78.63,2,0,왼손,오른쪽위,0,78.63
79.43,0,0,오른손,왼쪽위,0,79.43
79.86,2,0,왼손,오른쪽위,0,79.86
80.29,2,2,오른손,상관없음,0,80.29
80.66,2,0,오른손,상관없음,0,80.66
81.09,0,2,왼손,상관없음,0,81.09
81.59,0,0,왼손,상관없음,0,81.59
81.99,2,2,오른손,상관없음,0,81.99
82.41,2,0,오른손,상관없음,0,82.41
82.89,0,2,왼손,상관없음,0,82.89
83.68,0,0,왼손,상관없음,0,83.68
84.61,2,2,양손,상관없음,0,84.61
85.37,0,2,양손,상관없음,0,85.37
86.31,2,2,양손,상관없음,0,86.31
87.18,0,2,양손,상관없음,0,87.18
88.06,1,2,오른손,상관없음,0,88.06
88.93,1,2,왼손,상관없음,0,88.93
89.77,1,2,오른손,상관없음,0,89.77
90.24,1,2,왼손,상관없음,0,90.24
90.64,2,2,오른손,상관없음,0,90.64
91.06,2,0,오른손,상관없음,0,91.06
91.52,0,2,왼손,상관없음,0,91.52
91.94,0,0,왼손,상관없음,0,91.94
92.34,0,1,오른손,상관없음,0,92.34
,2,1,왼손,상관없음,0,
,1,2,오른손,상관없음,0,
